date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:28:11	368/368	---MCZ	200	added ('OK')	text/plain	etag:W/%2261653ac9-3f5%22	https://naftagaz.com/robots.txt		(from )
01:28:12	1966274/1966274	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2001:28:12%20GMT	https://naftagaz.com/en/	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/en/index.html	(from )
01:28:13	655830/655830	---M--	200	added ('OK')	image/png	etag:%2261327946-a01d6%22	https://naftagaz.com/upload/iblock/046/92hxrtv1vvrkoeddqokn4om8icooq32j.png	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/iblock/046/92hxrtv1vvrkoeddqokn4om8icooq32j.png	(from https://naftagaz.com/en/)
01:28:13	183545/183545	---MCZ	200	added ('OK')	text/css	etag:W/%22624dde5e-2ccf9%22	https://naftagaz.com/local/templates/naftagaz/assets/stylesheets/global.css?1649270366183545	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/local/templates/naftagaz/assets/stylesheets/globalc840.css	(from https://naftagaz.com/en/)
01:28:13	49771/49771	---MCZ	200	added ('OK')	text/css	etag:W/%22624dde5e-c26b%22	https://naftagaz.com/local/templates/naftagaz/assets/stylesheets/landing.css?164927036649771	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/local/templates/naftagaz/assets/stylesheets/landingbe1e.css	(from https://naftagaz.com/en/)
01:28:13	2130/2130	---M--	200	added ('OK')	image/png	etag:%22614457af-852%22	https://naftagaz.com/local/templates/naftagaz/assets/manifest/apple-touch-icon.png	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/local/templates/naftagaz/assets/manifest/apple-touch-icon.png	(from https://naftagaz.com/en/)
01:28:13	818/818	---M--	200	added ('OK')	image/png	etag:%22614457b0-332%22	https://naftagaz.com/local/templates/naftagaz/assets/manifest/favicon-32x32.png	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/local/templates/naftagaz/assets/manifest/favicon-32x32.png	(from https://naftagaz.com/en/)
01:28:14	650/650	---M--	200	added ('OK')	image/png	etag:%22614457af-28a%22	https://naftagaz.com/local/templates/naftagaz/assets/manifest/favicon-16x16.png	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/local/templates/naftagaz/assets/manifest/favicon-16x16.png	(from https://naftagaz.com/en/)
01:28:14	1955/1955	---M--	200	added ('OK')	image/png	etag:%22614457af-7a3%22	https://naftagaz.com/local/templates/naftagaz/assets/manifest/apple-touch-icon-precomposed.png	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/local/templates/naftagaz/assets/manifest/apple-touch-icon-precomposed.png	(from https://naftagaz.com/en/)
01:28:14	6568/6568	---M--	200	added ('OK')	image/jpeg	etag:%226132795c-19a8%22	https://naftagaz.com/upload/iblock/17b/90pn8b0zwwbgln3wtw9ilh8r7650fnyy.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/iblock/17b/90pn8b0zwwbgln3wtw9ilh8r7650fnyy.jpg	(from https://naftagaz.com/en/)
